"COUNTY","DATE","POPULATION","CUMDEATHS","NEWDEATHS","Online_Only","Hybrid","On_Premises","major_teaching","major_teaching_prop","Population.density","NCHS.Urban.Rural.Status","major_opendate","opendate_prop"
"ADAMS",2020-03-07,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-03-08,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-03-09,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-03-10,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-03-11,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-03-12,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-03-13,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-03-14,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-03-15,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-03-16,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-03-17,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-03-18,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-03-19,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-03-20,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-03-21,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-03-22,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-03-23,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-03-24,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-03-25,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-03-26,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-03-27,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-03-28,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-03-29,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-03-30,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-03-31,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-04-01,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
