"","COUNTY","time_value","work_prop_7d","work_std","work_sample_size"
"78","TRUMBULL",2020-01-22,0.088680070010803,0.0015886056622098,1351
"79","TUSCARAWAS",2020-01-22,0.10292537113567,0.002486162969073,539
"80","UNION",2020-01-22,0.11988747277771,0.0041582734119773,203
"81","VAN WERT",2020-01-22,0.12012075352708,0.0044334460315874,196
"82","VINTON",2020-01-22,0.10341207821012,0.0063965419573014,84
"83","WARREN",2020-01-22,0.1219422208025,0.0022109779863537,756
"84","WASHINGTON",2020-01-22,0.097993749937525,0.0030831312648296,329
"85","WAYNE",2020-01-22,0.10271591016464,0.0024893596033062,581
"86","WILLIAMS",2020-01-22,0.093287971865557,0.0033103782742006,252
"87","WOOD",2020-01-22,0.10904664277287,0.0024083103340107,630
"88","WYANDOT",2020-01-22,0.096435090410328,0.0044961271314317,154
"89","ADAMS",2020-01-23,0.087050000718917,0.0042134048040898,154
"90","ALLEN",2020-01-23,0.089405656318179,0.0023135313124934,641
"91","ASHLAND",2020-01-23,0.10404977725902,0.0032893804514103,308
"92","ASHTABULA",2020-01-23,0.078293278300172,0.0018886415787698,651
"93","ATHENS",2020-01-23,0.090407182586271,0.0031158659329219,336
"94","AUGLAIZE",2020-01-23,0.10536936454515,0.0035912013531232,287
"95","BELMONT",2020-01-23,0.09766355900481,0.0027658052836078,476
"96","BROWN",2020-01-23,0.10728675394189,0.0045538492133259,224
"97","BUTLER",2020-01-23,0.10595552660037,0.0014093914669318,1869
"98","CARROLL",2020-01-23,0.1031645642106,0.0049635708309657,175
"99","CHAMPAIGN",2020-01-23,0.10089092218606,0.0035293058423318,238
"100","CLARK",2020-01-23,0.092086266673614,0.0018980862383508,952
"101","CLERMONT",2020-01-23,0.11351599192724,0.0019789557566506,819
"102","CLINTON",2020-01-23,0.10169733450778,0.0036852256349697,224
"103","COLUMBIANA",2020-01-23,0.095730365691536,0.0022213651776795,658
"104","COSHOCTON",2020-01-23,0.095962466951241,0.0039454532577884,231
