"","geo_value","time_value","part_work_prop_7d","part_work_sample_size","full_work_prop_7d","full_work_sample_size","res_visit_by_pop","bar_visit_by_pop"
"1","39001",2020-01-22,0.091706943855455,154,0.064388236280202,154,166.90209801553,NA
"2","39003",2020-01-22,0.089442545909153,642,0.064257423120361,642,507.45496644037,NA
"3","39005",2020-01-22,0.1050806934008,308,0.072194624521016,308,285.98730180728,NA
"4","39007",2020-01-22,0.07987155709595,651,0.061136107735712,651,162.41152321293,NA
"5","39009",2020-01-22,0.091319709801983,336,0.061038363120189,336,415.43199116844,NA
"6","39011",2020-01-22,0.10596430228805,287,0.076120260098211,287,234.24094192148,NA
"7","39013",2020-01-22,0.094869619288702,476,0.082078884925075,476,543.10352774554,NA
"8","39015",2020-01-22,0.10406831664759,224,0.077351186229305,224,505.39826193026,NA
"9","39017",2020-01-22,0.10669137119275,1869,0.077673156589798,1869,633.35051910101,32.261697691113
"10","39019",2020-01-22,0.10312117095106,175,0.071675722922429,175,150.66451469599,NA
"11","39021",2020-01-22,0.10178837841809,238,0.07625859923615,238,30.152664804194,NA
"12","39023",2020-01-22,0.092191177892837,952,0.067406124552596,952,486.55715596677,NA
"13","39025",2020-01-22,0.11368313038887,819,0.083058534988315,819,691.88423839886,62.61460709334
"14","39027",2020-01-22,0.098836089411312,224,0.070483765573739,224,485.71737092959,NA
"15","39029",2020-01-22,0.095025087198437,658,0.076010848692188,658,130.88418232481,NA
"16","39031",2020-01-22,0.095483775682506,231,0.067083038465831,231,148.23769461867,NA
"17","39033",2020-01-22,0.086305248149197,336,0.061144573538096,336,112.02829180222,NA
"18","39035",2020-01-22,0.086251860011072,8108,0.071265733054158,8108,281.47276168838,66.630670787046
"19","39037",2020-01-22,0.11483177257095,364,0.067718511752302,364,165.71311095786,NA
"20","39039",2020-01-22,0.093292900078852,252,0.070009856348013,252,379.5715298844,NA
"21","39041",2020-01-22,0.13215377480724,616,0.088808521766542,616,637.11834832706,504.20168067227
"22","39043",2020-01-22,0.090168184016779,483,0.066128123430328,483,606.22253021933,NA
"23","39045",2020-01-22,0.10252274464498,651,0.072536622333989,651,621.15542358078,12.175183497408
"24","39047",2020-01-22,0.09294217323706,182,0.070984908111943,182,434.87999034679,NA
"25","39049",2020-01-22,0.091768018142548,6194,0.065280119394936,6194,456.33702559986,32.333558900761
"26","39051",2020-01-22,0.10761963943528,217,0.0893676109492,217,98.763616333426,NA
"27","39053",2020-01-22,0.10465707378995,175,0.075923440861759,175,537.66476702863,NA
"28","39055",2020-01-22,0.11205859868241,447,0.091552104964705,447,79.984091206558,3.3201082355285
"29","39057",2020-01-22,0.10493928607595,784,0.069220885601334,784,778.4826745071,83.140929306799
"30","39059",2020-01-22,0.091161913704559,245,0.07362113092759,245,689.42739583992,NA
"31","39061",2020-01-22,0.098023085328408,4879,0.076681315265929,4879,692.01422941568,145.40324665419
"32","39063",2020-01-22,0.10646035531732,434,0.072363934283859,434,669.30039889431,NA
"33","39065",2020-01-22,0.083289268493511,196,0.057084842011952,196,217.36505252989,NA
"34","39067",2020-01-22,0.087467401495277,119,0.078069324270877,119,1328.903654485,NA
"35","39069",2020-01-22,0.10556755671609,189,0.089709845093762,189,3.8816855427345,NA
"36","39071",2020-01-22,0.10093926167126,245,0.06720233082284,245,397.1479001537,NA
"37","39073",2020-01-22,0.089280804764402,161,0.061667994845499,161,166.49118311668,NA
"38","39075",2020-01-22,0.1166159740358,161,0.077894452213784,161,93.251403078878,NA
"39","39077",2020-01-22,0.085590818470043,336,0.065262751271404,336,98.002200850801,NA
"40","39079",2020-01-22,0.096528676016476,210,0.07760076319504,210,110.33466888418,NA
"41","39081",2020-01-22,0.08028901454246,469,0.069151885213921,469,774.13955434669,NA
"42","39083",2020-01-22,0.0996253968347,322,0.069258256460993,322,267.10363750468,NA
"43","39085",2020-01-22,0.10587264052646,1084,0.081036075476827,1084,291.51446256938,3.3201082355285
"44","39087",2020-01-22,0.10634678685079,399,0.092958884630284,399,204.55016885283,NA
"45","39089",2020-01-22,0.10533684677589,784,0.072587990485141,784,352.08067547035,12.175183497408
"46","39091",2020-01-22,0.1033201010002,273,0.061352428818288,273,417.31666544051,NA
"47","39093",2020-01-22,0.087534506074159,1414,0.068171580932365,1414,223.62323849622,NA
"48","39095",2020-01-22,0.088242720353868,2776,0.069702926387659,2776,319.15251156961,123.97233459481
"49","39097",2020-01-22,0.10931251505883,196,0.077157436257549,196,282.42582602831,27.807766545621
"50","39099",2020-01-22,0.084664979059818,1512,0.069784292812967,1512,425.63669090409,NA
"51","39101",2020-01-22,0.088879510878281,392,0.062696761220678,392,296.49243851045,NA
"52","39103",2020-01-22,0.10978272218807,770,0.082296628144064,770,233.77048485158,NA
"53","39105",2020-01-22,0.094676391043291,161,0.063716790585995,161,157.62511493498,NA
"54","39107",2020-01-22,0.10416373574894,231,0.08327089991083,231,104.80482898321,NA
"55","39109",2020-01-22,0.1020147106649,602,0.072521412103054,602,526.56577914042,NA
"56","39111",2020-01-22,0.084046162106368,112,0.081220607992573,112,NA,NA
"57","39113",2020-01-22,0.088052250603067,2919,0.063282584604687,2919,571.65409038122,53.769810543455
"58","39115",2020-01-22,0.086907322233537,105,0.060563923718346,105,370.58708796567,66.217856748703
"59","39117",2020-01-22,0.09458220091936,161,0.07187821198756,161,69.083692149562,NA
"60","39119",2020-01-22,0.10056279490963,525,0.070398181205495,525,621.61859197518,NA
"61","39121",2020-01-22,0.094115227707712,84,0.092014386786709,84,NA,66.217856748703
